"G.A.B. Canvass Reporting System",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,
,,,,,,,,,,,,,
"2012 PRESIDENTIAL AND GENERAL ELECTION",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President of the United States",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","IND",,"IND","IND","IND","IND","IND",
,,,"MITT ROMNEY
PAUL RYAN","BARACK OBAMA
JOE BIDEN","VIRGIL GOODE
JIM CLYMER","GARY JOHNSON
JAMES P. GRAY",,"GLORIA LA RIVA
FILBERTO RAMIREZ, JR.","JERRY WHITE
PHYLLIS SCHERRER","JILL STEIN
BEN MANSKI","ROSS C. ROCKY ANDERSON
LUIS J. RODRIGUEZ (WRITE-IN)","ROSEANNE BARR
CINDY LEE SHEEHAN (WRITE IN)","SCATTERING"
,"TOWN OF WRIGHTSTOWN Wards 1 - 3","1,214",731,464,2,10,,0,0,6,0,0,1
,"VILLAGE OF ALLOUEZ Wards 1 - 2","2,059",856,"1,186",6,9,,0,0,2,0,0,0
,"VILLAGE OF ALLOUEZ Wards 3 - 4","1,816",856,940,3,9,,0,0,5,0,0,3
,"VILLAGE OF ALLOUEZ Wards 5 - 6","2,358","1,295","1,037",1,16,,0,0,8,0,0,1
,"VILLAGE OF ALLOUEZ Wards 7 - 9","1,903",973,907,2,9,,0,0,7,0,0,5
,"VILLAGE OF ASHWAUBENON WD 1&2","1,276",567,690,0,14,,0,0,2,0,0,3
,"VILLAGE OF ASHWAUBENON WD 3&4","1,374",654,697,4,13,,0,1,3,0,0,2
,"VILLAGE OF ASHWAUBENON WD 5&6","1,579",795,764,3,10,,1,0,3,0,0,3
,"VILLAGE OF ASHWAUBENON WD 7&8","1,817",996,794,4,18,,0,0,2,0,0,3
,"VILLAGE OF ASHWAUBENON WD 9&10","2,015","1,203",796,2,9,,0,1,2,0,0,2
,"VILLAGE OF ASHWAUBENON WD 11&12","1,461",685,754,4,12,,0,0,1,0,0,5
,"VILLAGE OF BELLEVUE WARDS 1-6","3,728","1,842","1,852",7,10,,1,0,9,0,0,7
,"VILLAGE OF BELLEVUE WARDS 7-10","4,005","2,208","1,772",1,13,,0,0,10,0,0,1
,"VILLAGE OF DENMARK Wards 1 - 3","1,062",528,521,1,7,,0,1,2,0,0,2
,"VILLAGE OF HOBART WARDS 1-8","4,040","2,388","1,611",4,21,,0,1,8,0,0,7
,"VILLAGE OF HOBART WARD 9",0,0,0,0,0,,0,0,0,0,0,0
,"VILLAGE OF HOWARD Wards 1 & 12","1,062",579,468,0,13,,0,0,2,0,0,0
,"VILLAGE OF HOWARD Wards 2, 8 & 11","2,451","1,421","1,003",1,16,,0,0,5,0,0,5
,"VILLAGE OF HOWARD Ward 3, 4 & 6","1,397",631,746,7,5,,0,0,5,0,0,3
,"VILLAGE OF HOWARD Ward 5",396,198,190,0,5,,0,0,2,0,0,1
,"VILLAGE OF HOWARD Ward 7",510,306,200,2,1,,0,0,1,0,0,0
,"VILLAGE OF HOWARD Ward 9, 10 & 18","1,819","1,015",785,4,8,,0,1,4,0,0,2
,"VILLAGE OF HOWARD Ward 13&14","1,034",581,446,2,3,,0,0,2,0,0,0
,"VILLAGE OF HOWARD Ward 15&16","1,253",744,492,9,4,,1,0,1,0,0,2
,"VILLAGE OF PULASKI WARDS 1-3 & 6","1,559",786,738,5,19,,0,0,6,0,0,5
,"VILLAGE OF SUAMICO Ward 1-4","3,224","2,073","1,125",6,13,,1,0,3,0,0,3
,"VILLAGE OF SUAMICO Ward 5-8","3,627","2,253","1,357",5,7,,1,0,1,0,0,3
,"VILLAGE OF WRIGHTSTOWN Wards 1-2-3","1,333",760,557,6,5,,0,0,0,0,0,5
,"CITY OF DE PERE WARDS 1-4","3,609","1,846","1,729",2,17,,1,0,5,0,0,9
,"CITY OF DE PERE WARD 5",233,117,116,0,0,,0,0,0,0,0,0
,"CITY OF DE PERE WARDS 6-8","2,590","1,255","1,308",3,17,,0,0,2,0,0,5
,"CITY OF DE PERE WARD 9 & 18",487,257,224,0,4,,0,0,1,0,0,1
,"CITY OF DE PERE WARDS 10-12","3,036","1,462","1,530",6,26,,0,0,6,0,0,6
,"CITY OF DE PERE WARDS 13-15","3,180","1,735","1,403",3,26,,0,0,6,0,0,7
,"CITY OF DE PERE WARDS 16-17",8,3,5,0,0,,0,0,0,0,0,0
,"CITY OF GREEN BAY WARD 1",13,10,3,0,0,,0,0,0,0,0,0
,"CITY OF GREEN BAY WARD 2","1,206",640,550,1,3,,0,0,6,0,0,6
,"CITY OF GREEN BAY WARD 3","1,821",748,"1,037",4,18,,1,1,6,0,0,6
,"CITY OF GREEN BAY WARD 4","1,753",919,816,3,8,,1,0,5,0,0,1
,"CITY OF GREEN BAY WARD 5",796,404,389,0,2,,0,0,1,0,0,0
,"CITY OF GREEN BAY WARD 6","1,708",944,750,2,9,,0,0,2,0,0,1
,"CITY OF GREEN BAY WARD 7",930,456,462,0,7,,0,0,4,0,0,1
,"CITY OF GREEN BAY WARD 8","1,644",830,797,2,9,,1,0,1,0,0,4
,"CITY OF GREEN BAY WARD 9",660,232,419,1,1,,0,0,2,0,0,5
,"CITY OF GREEN BAY WARD 10",716,249,452,3,8,,0,0,3,0,0,1
,"CITY OF GREEN BAY WARD 11",750,354,387,1,6,,0,0,2,0,0,0
,"CITY OF GREEN BAY WARD 12",744,242,488,2,5,,0,0,6,0,0,1
,"CITY OF GREEN BAY WARD 13",743,218,504,2,10,,0,2,5,0,0,2
,"CITY OF GREEN BAY WARD 14",760,296,455,1,3,,0,0,2,0,0,3
,"CITY OF GREEN BAY WARD 15","1,197",444,725,0,13,,1,0,13,0,0,1
,"CITY OF GREEN BAY WARD 16",993,320,649,1,14,,0,0,7,0,0,2
,"CITY OF GREEN BAY WARD 17",892,322,562,2,6,,0,0,0,0,0,0
,"CITY OF GREEN BAY WARD 18",930,398,518,0,9,,0,0,3,0,0,2
,"CITY OF GREEN BAY WARD 19",682,252,417,1,6,,1,0,2,0,0,3
,"CITY OF GREEN BAY WARD 20",806,257,529,5,9,,1,0,1,0,0,4
,"CITY OF GREEN BAY WARD 21",692,193,489,2,2,,1,0,5,0,0,0
,"CITY OF GREEN BAY WARD 22",345,116,223,0,6,,0,0,0,0,0,0
,"CITY OF GREEN BAY WARD 23",743,283,454,0,2,,0,0,2,0,0,2
,"CITY OF GREEN BAY WARD 24",933,307,615,1,9,,1,0,0,0,0,0
,"CITY OF GREEN BAY WARD 25",862,295,553,2,9,,0,0,1,0,0,2
,"CITY OF GREEN BAY WARD 26",793,217,557,3,10,,0,0,3,0,0,3
,"CITY OF GREEN BAY WARD 27",384,76,303,1,2,,0,0,2,0,0,0
,"CITY OF GREEN BAY WARD 28",899,259,617,2,11,,0,0,7,0,0,3
,"CITY OF GREEN BAY WARD 29","1,172",457,694,2,10,,1,0,2,0,0,6
,"CITY OF GREEN BAY WARD 30","1,076",264,792,5,10,,0,0,5,0,0,0
,"CITY OF GREEN BAY WARD 31","1,156",425,708,2,10,,0,2,7,0,0,2
,"CITY OF GREEN BAY WARD 32",986,361,605,4,10,,0,0,6,0,0,0
,"CITY OF GREEN BAY WARD 33",627,252,371,0,0,,0,0,1,0,0,3
,"CITY OF GREEN BAY WARD 34","1,247",509,719,4,11,,0,0,4,0,0,0
,"CITY OF GREEN BAY WARD 35",879,437,434,0,5,,0,0,2,0,0,1
,"CITY OF GREEN BAY WARD 36",597,204,386,0,4,,0,0,3,0,0,0
,"CITY OF GREEN BAY WARD 37",942,390,547,1,3,,0,0,0,0,0,1
,"CITY OF GREEN BAY WARD 38","1,206",510,674,1,11,,0,0,6,0,0,4
,"CITY OF GREEN BAY WARD 39","1,378",557,805,5,5,,0,2,3,0,0,1
,"CITY OF GREEN BAY WARD 40",913,377,515,2,10,,0,0,8,0,0,1
,"CITY OF GREEN BAY WARD 41",465,239,218,2,5,,0,1,0,0,0,0
,"CITY OF GREEN BAY WARD 42",765,295,458,0,6,,1,0,4,0,0,1
,"CITY OF GREEN BAY WARD 43","1,259",573,672,0,11,,0,0,1,0,0,2
,"CITY OF GREEN BAY WARD 44","1,656",778,849,3,12,,0,0,6,0,0,8
,"CITY OF GREEN BAY WARD 45","1,895","1,173",707,1,10,,1,0,2,0,0,1
,"CITY OF GREEN BAY WARD 46","1,398",562,818,3,8,,1,0,2,0,1,3
,"CITY OF GREEN BAY WARD 47","1,522",843,669,1,6,,1,0,0,0,0,2
,"County Totals:","128,928","64,836","62,526",204,805,,21,16,308,0,1,211
"BUFFALO ","TOWN OF ALMA Ward 1",182,82,97,1,0,,0,0,2,0,0,0
,"TOWN OF BELVIDERE Ward 1",251,131,118,0,1,,0,0,0,0,1,0
,"TOWN OF BUFFALO Ward 1",406,190,207,2,4,,0,0,3,0,0,0
,"TOWN OF CANTON Ward 1",140,63,76,1,0,,0,0,0,0,0,0
,"TOWN OF CROSS Ward 1",208,106,101,0,1,,0,0,0,0,0,0
,"TOWN OF DOVER Ward 1",240,111,124,2,2,,0,1,0,0,0,0
,"TOWN OF GILMANTON Ward 1",227,89,136,0,1,,0,0,0,0,0,1
,"TOWN OF GLENCOE Ward 1",236,128,107,0,1,,0,0,0,0,0,0
,"TOWN OF LINCOLN Ward 1",111,61,49,0,1,,0,0,0,0,0,0
,"TOWN OF MAXVILLE Ward 1",164,102,61,0,0,,0,0,0,0,0,1
,"TOWN OF MILTON Ward 1",307,131,172,2,1,,0,0,1,0,0,0
