county_city_key,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12,scanner,voting_machine
BROWN___VILLAGE OF DENMARK,1068,646,361,1,38,0,11,6,5,1062,528,521,1,10,0,0,ES&S DS200,ES&S Automark
BROWN___VILLAGE OF HOBART,4615,2623,1701,16,166,0,46,5,58,4040,2388,1611,4,30,0,0,ES&S DS200,ES&S Automark
BROWN___VILLAGE OF HOWARD,10351,5917,3850,31,363,0,88,26,76,9922,5475,4330,25,79,0,0,ES&S DS200,ES&S Automark
BROWN___VILLAGE OF PULASKI,1525,912,523,6,56,0,15,9,4,1559,786,738,5,25,0,0,ES&S DS200,ES&S Automark
BROWN___VILLAGE OF SUAMICO,7332,4749,2200,21,259,0,32,21,50,6851,4326,2482,11,26,0,0,ES&S DS200,ES&S Automark
BROWN___VILLAGE OF WRIGHTSTOWN,1374,836,448,5,61,0,12,8,4,1333,760,557,6,5,0,0,ES&S DS200,ES&S Automark
BROWN___CITY OF DE PERE,13249,6491,5821,48,566,0,137,60,126,13143,6675,6315,14,111,0,0,ES&S DS200,ES&S Automark
BROWN___CITY OF GREEN BAY,44357,19826,21303,179,1816,0,649,139,445,46534,19487,26361,78,518,0,0,ES&S DS200,ES&S Automark
BUFFALO___TOWN OF ALMA,182,95,78,0,5,0,3,1,0,182,82,97,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF BELVIDERE,254,149,94,1,6,0,1,0,3,251,131,118,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF BUFFALO,397,224,150,3,9,0,6,2,3,406,190,207,2,7,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF CANTON,141,80,53,0,3,0,4,1,0,140,63,76,1,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF CROSS,202,132,58,0,7,0,4,0,1,208,106,101,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF DOVER,221,128,84,2,3,0,2,1,1,240,111,124,2,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF GILMANTON,203,128,62,0,10,0,3,0,0,227,89,136,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF GLENCOE,232,165,64,0,3,0,0,0,0,236,128,107,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF LINCOLN,124,78,40,0,5,0,0,0,1,111,61,49,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF MAXVILLE,177,129,37,1,5,0,3,2,0,164,102,61,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF MILTON,340,173,139,2,15,0,4,2,5,307,131,172,2,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF MODENA,162,90,66,1,2,0,1,0,2,177,86,89,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF MONDOVI,251,157,82,1,5,0,5,1,0,265,131,131,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF MONTANA,141,95,39,3,3,0,1,0,0,150,79,67,3,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF NAPLES,368,241,102,3,20,0,1,0,1,365,203,154,0,8,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF NELSON,317,210,88,1,11,0,4,0,3,310,172,136,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___TOWN OF WAUMANDEE,292,188,87,2,10,0,2,1,2,273,157,111,1,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___VILLAGE OF COCHRANE,201,105,82,2,8,0,2,0,2,223,100,119,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___VILLAGE OF NELSON,174,88,63,1,12,0,3,3,4,164,62,96,4,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___CITY OF ALMA,420,225,173,3,6,0,5,1,7,450,210,234,0,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___CITY OF BUFFALO CITY,611,323,251,5,23,0,6,0,3,563,261,293,2,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___CITY OF FOUNTAIN CITY,409,192,190,1,12,0,5,4,5,472,200,261,2,9,0,0,None,Dominion (Sequoia)/Command Central-Edge
BUFFALO___CITY OF MONDOVI,1162,653,443,5,35,0,9,6,11,1155,509,631,9,5,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF ANDERSON,249,172,64,0,11,0,1,1,0,211,126,83,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF BLAINE,101,66,31,0,4,0,0,0,0,119,56,58,2,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF DANIELS,375,251,102,5,11,0,3,3,0,379,227,141,3,8,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF DEWEY,279,166,94,4,12,0,3,0,0,262,136,122,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF GRANTSBURG,563,365,163,9,18,0,6,2,0,552,316,226,1,8,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF JACKSON,570,321,232,0,17,0,0,0,0,570,284,279,2,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF LA FOLLETTE,307,166,129,0,7,0,3,2,0,302,149,149,2,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF LINCOLN,172,123,45,0,2,0,2,0,0,159,75,78,2,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF MEENON,555,370,165,2,13,0,5,0,0,544,289,251,1,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF OAKLAND,575,312,243,0,11,0,8,1,0,547,246,292,1,8,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF ROOSEVELT,109,73,32,1,2,0,1,0,0,124,62,58,2,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF RUSK,245,163,76,0,4,0,2,0,0,243,118,116,2,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF SAND LAKE,286,157,118,1,6,0,2,2,0,286,111,167,1,7,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF SCOTT,406,221,171,2,10,0,0,2,0,413,241,168,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF SIREN,525,349,156,1,14,0,4,1,0,499,259,233,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF SWISS,427,215,189,2,13,0,8,0,0,414,151,255,1,7,0,0,None,Dominion (Sequoia)/Command Central-Edge
BURNETT___TOWN OF TRADE LAKE,506,331,152,4,13,0,2,4,0,521,310,197,1,11,0,0,None,Dominion (Sequoia)/Command Central-Edge
